"class","method","INSTRUMENTATION","ASPECTJ","DOCUMENTATION","DOC_ASPECTJ","DOC_BYTEBUDDY","ARCHUNIT","WALA"
"java.nio.file.Files","move","OVERWRITE,DELETE","OVERWRITE,DELETE","OVERWRITE,DELETE","YES","YES",TRUE,TRUE
"java.nio.file.Files","newBufferedReader","READ","READ","READ","YES","YES",TRUE,TRUE
"java.nio.file.Files","newBufferedWriter","OVERWRITE,CREATE","OVERWRITE,CREATE","OVERWRITE,CREATE","YES","YES",TRUE,TRUE
"java.nio.file.Files","newByteChannel","READ","READ","READ,OVERWRITE","YES,NO (via)","YES,NO (via)",TRUE,TRUE
"java.nio.file.Files","newDirectoryStream","READ","READ","READ","YES","YES",TRUE,TRUE
"java.nio.file.Files","newInputStream","READ","READ","READ","YES","YES",TRUE,TRUE
"java.nio.file.Files","newOutputStream","OVERWRITE,CREATE","OVERWRITE,CREATE","OVERWRITE,CREATE","YES","YES",TRUE,TRUE
"java.nio.file.Files","readAllBytes","READ","READ","READ","YES","YES",TRUE,TRUE
"java.nio.file.Files","readAllLines","READ","READ","READ","YES","YES",TRUE,TRUE
"java.nio.file.Files","readString","READ","READ","READ","YES","YES",TRUE,TRUE
"java.nio.file.Files","setAttribute","OVERWRITE","OVERWRITE","OVERWRITE","YES","YES",TRUE,TRUE
"java.nio.file.Files","setLastModifiedTime","OVERWRITE","OVERWRITE","OVERWRITE","YES","YES",TRUE,TRUE
"java.nio.file.Files","setOwner","OVERWRITE","OVERWRITE","OVERWRITE","YES","YES",TRUE,TRUE
"java.nio.file.Files","setPosixFilePermissions","OVERWRITE","OVERWRITE","OVERWRITE","YES","YES",TRUE,TRUE
"java.nio.file.Files","walk","READ","READ","READ","YES","YES",TRUE,TRUE
"java.nio.file.Files","walkFileTree","READ","READ","READ","YES","YES",TRUE,TRUE
"java.nio.file.Files","write","OVERWRITE","OVERWRITE","OVERWRITE","YES","YES",TRUE,TRUE
"java.nio.file.Files","writeString","OVERWRITE","OVERWRITE","OVERWRITE","YES","YES",TRUE,TRUE
"java.nio.file.spi.FileSystemProvider","copy","OVERWRITE","OVERWRITE","OVERWRITE","YES","YES",TRUE,TRUE
"java.nio.file.spi.FileSystemProvider","createDirectory","CREATE","CREATE","CREATE","YES","YES",TRUE,TRUE
"java.nio.file.spi.FileSystemProvider","move","OVERWRITE","OVERWRITE","OVERWRITE","YES","YES",TRUE,TRUE
"java.nio.file.spi.FileSystemProvider","newDirectoryStream","READ","READ","READ","YES","YES",TRUE,TRUE
"java.nio.file.spi.FileSystemProvider","setAttribute","OVERWRITE","OVERWRITE","OVERWRITE","YES","YES",TRUE,TRUE
"java.util.Formatter","<init>","OVERWRITE","OVERWRITE","OVERWRITE","YES","YES",TRUE,TRUE
"java.util.jar.JarFile","<init>","READ","READ","READ","YES","YES",TRUE,TRUE
"java.util.jar.JarFile","entries","READ","READ","READ","YES","YES",TRUE,TRUE
"java.util.jar.JarFile","getInputStream","READ","READ","READ","YES","YES",TRUE,TRUE
"java.util.jar.JarInputStream","<init>","READ","READ","READ","YES","YES",TRUE,TRUE
"java.util.jar.JarInputStream","getNextJarEntry","READ","READ","READ","YES","YES",TRUE,TRUE
"java.util.jar.JarOutputStream","<init>","OVERWRITE","OVERWRITE","OVERWRITE","YES","YES",TRUE,TRUE
"java.util.jar.JarOutputStream","closeEntry","OVERWRITE","OVERWRITE","OVERWRITE","YES","YES",TRUE,TRUE
"java.util.jar.JarOutputStream","putNextEntry","OVERWRITE","OVERWRITE","OVERWRITE","YES","YES",TRUE,TRUE
"java.util.logging.FileHandler","<init>","OVERWRITE","OVERWRITE,UNKNOWN","OVERWRITE","YES","YES",TRUE,TRUE
"java.util.logging.FileHandler","close","OVERWRITE","UNKNOWN","OVERWRITE","YES","YES",TRUE,TRUE
"java.util.logging.FileHandler","publish","OVERWRITE","UNKNOWN","OVERWRITE","YES","YES",TRUE,TRUE
"java.util.Properties","load","READ","READ","READ","YES","YES",TRUE,TRUE
"java.util.Properties","loadFromXML","READ","READ","READ","YES","YES",TRUE,TRUE
"java.util.Properties","store","OVERWRITE","OVERWRITE","OVERWRITE","YES","YES",TRUE,TRUE
"java.util.Properties","storeToXML","OVERWRITE","OVERWRITE","OVERWRITE","YES","YES",TRUE,TRUE
"java.util.Scanner","<init>","READ","UNKNOWN","READ","YES","YES",TRUE,TRUE
"java.util.zip.GZIPInputStream","<init>","READ","READ","READ","YES","YES",TRUE,TRUE
"java.util.zip.GZIPOutputStream","<init>","OVERWRITE","OVERWRITE","OVERWRITE","YES","YES",TRUE,TRUE
"java.util.zip.InflaterOutputStream","<init>","OVERWRITE","OVERWRITE","OVERWRITE","YES","YES",TRUE,TRUE
"java.util.zip.ZipFile","<init>","READ","READ","READ","YES","YES",TRUE,TRUE
"java.util.zip.ZipFile","entries","READ","READ","READ","YES","YES",TRUE,TRUE
"java.util.zip.ZipFile","getInputStream","READ","READ","READ","YES","YES",TRUE,TRUE
